scenario,method,true,estimate,se,covered,rep,seed
Observed-state MAR,Coarse locked state,1.0836150759447287,1.245103881087445,0.1084405988656347,1,14,4211962318
Observed-state MAR,Design erasure,1.0836150759447287,1.3476570389340101,0.10401022639625698,0,14,4211962318
Observed-state MAR,Admissible refinement,1.0836150759447287,1.2233271906307177,0.1066100727954016,1,14,4211962318
Observed-state MAR,IPCW admissible refinement,1.0836150759447287,1.2237762879208007,0.10648721764036867,1,14,4211962318
Observed-state MAR,Mediator-as-state,1.0836150759447287,0.8339253981182156,0.11141930820477511,0,14,4211962318
Observed-state MAR,Post-action leakage,1.0836150759447287,1.094706603290339,0.11321611028486595,1,14,4211962318
Observed-state MAR,Oracle state,1.0836150759447287,1.2380934253293319,0.10630483920752332,1,14,4211962318
Complete,Untyped naive contrast,1.0430460029523856,1.8915749100576937,0.13222308367272115,0,15,2349113314
Complete,Coarse locked state,1.0430460029523856,1.0670001943662795,0.09691711691852821,1,15,2349113314
Complete,Design erasure,1.0430460029523856,1.2164732524084378,0.0932786281068509,1,15,2349113314
Complete,Admissible refinement,1.0430460029523856,1.0618231263916245,0.09067205237441199,1,15,2349113314
Complete,Mediator-as-state,1.0430460029523856,0.6681292561439016,0.10404511389836367,0,15,2349113314
Complete,Post-action leakage,1.0430460029523856,0.8307335812989762,0.10148515062263366,0,15,2349113314
Complete,Oracle state,1.0430460029523856,1.0301661157676067,0.09299838874598852,1,15,2349113314
Observed-state MAR,Untyped naive contrast,1.0777964669172253,1.4572535810326799,0.15030946199760972,0,15,2349113314
Observed-state MAR,Coarse locked state,1.0777964669172253,0.9704302523202898,0.10847949812373368,1,15,2349113314
Observed-state MAR,Design erasure,1.0777964669172253,1.1130785914629968,0.10059657838626074,1,15,2349113314
Observed-state MAR,Admissible refinement,1.0777964669172253,0.9802592909791388,0.1032365905012536,1,15,2349113314
Observed-state MAR,IPCW admissible refinement,1.0777964669172253,0.9826066989884835,0.102982989215258,1,15,2349113314
Observed-state MAR,Mediator-as-state,1.0777964669172253,0.6294757541348608,0.11959993303033827,0,15,2349113314
Observed-state MAR,Post-action leakage,1.0777964669172253,0.7891333446855232,0.11889171603173,0,15,2349113314
Observed-state MAR,Oracle state,1.0777964669172253,0.9994447957944865,0.09815978602313634,1,15,2349113314
Complete,Untyped naive contrast,1.0368236004076865,1.7692128584917588,0.13536452059150506,0,16,2853462285
Complete,Coarse locked state,1.0368236004076865,1.1188624521508401,0.08286457220236298,1,16,2853462285
Complete,Design erasure,1.0368236004076865,1.2790664391334943,0.0832091230956721,0,16,2853462285
Complete,Admissible refinement,1.0368236004076865,1.1255993953206898,0.08543229284559728,1,16,2853462285
Complete,Mediator-as-state,1.0368236004076865,0.7933160531455202,0.08518088684987019,0,16,2853462285
Complete,Post-action leakage,1.0368236004076865,0.9009737578378562,0.08837651788226937,1,16,2853462285
Complete,Oracle state,1.0368236004076865,1.1334142441920236,0.08591304250692224,1,16,2853462285
Observed-state MAR,Untyped naive contrast,1.0242382275224233,1.7381797453694956,0.14647452263790667,0,16,2853462285
Observed-state MAR,Coarse locked state,1.0242382275224233,0.9538796647613584,0.10645897911129802,1,16,2853462285
Observed-state MAR,Design erasure,1.0242382275224233,1.1496423070192057,0.09971081662357033,1,16,2853462285
Observed-state MAR,Admissible refinement,1.0242382275224233,0.9668348565454323,0.10356494612392206,1,16,2853462285
Observed-state MAR,IPCW admissible refinement,1.0242382275224233,0.9600509660340175,0.10445447313253076,1,16,2853462285
Observed-state MAR,Mediator-as-state,1.0242382275224233,0.5865229517182665,0.10598775357908874,0,16,2853462285
Observed-state MAR,Post-action leakage,1.0242382275224233,0.7466069156183758,0.10753928106132245,0,16,2853462285
Observed-state MAR,Oracle state,1.0242382275224233,0.9929116276766641,0.10096443097363728,1,16,2853462285
Complete,Untyped naive contrast,1.0697197921221402,1.613208089015953,0.17039857155441868,0,17,1501550660
Complete,Coarse locked state,1.0697197921221402,0.9830917966949402,0.08740651097653131,1,17,1501550660
Complete,Design erasure,1.0697197921221402,1.177650619938907,0.08858723963484406,1,17,1501550660
Complete,Admissible refinement,1.0697197921221402,1.0157900535051374,0.08661723613671411,1,17,1501550660
Complete,Mediator-as-state,1.0697197921221402,0.5954298508099026,0.08786002325475725,0,17,1501550660
Complete,Post-action leakage,1.0697197921221402,0.8017602833325612,0.09742766542063587,0,17,1501550660
Complete,Oracle state,1.0697197921221402,0.9793485437328622,0.08399563831761937,1,17,1501550660
Observed-state MAR,Untyped naive contrast,1.0473263296800586,1.8488571099346662,0.155377927023562,0,17,1501550660
Observed-state MAR,Coarse locked state,1.0473263296800586,1.126349957746525,0.1081616073871002,1,17,1501550660
Observed-state MAR,Design erasure,1.0473263296800586,1.319395242881124,0.10718400982033252,0,17,1501550660
Observed-state MAR,Admissible refinement,1.0473263296800586,1.1354931974152678,0.10843824925079974,1,17,1501550660
Observed-state MAR,IPCW admissible refinement,1.0473263296800586,1.1378475887539778,0.10761011134237294,1,17,1501550660
Observed-state MAR,Mediator-as-state,1.0473263296800586,0.8016909877622787,0.10867089232872387,0,17,1501550660
Observed-state MAR,Post-action leakage,1.0473263296800586,0.9684009555635306,0.11667175866201766,1,17,1501550660
Observed-state MAR,Oracle state,1.0473263296800586,1.1594565925308458,0.10788743751366611,1,17,1501550660
Complete,Untyped naive contrast,1.0548767761753242,1.9533335671780814,0.14232639290937396,0,18,46307418
Complete,Coarse locked state,1.0548767761753242,1.1298975153409334,0.09210708224583708,1,18,46307418
Complete,Design erasure,1.0548767761753242,1.357850707483234,0.08460804909748776,0,18,46307418
Complete,Admissible refinement,1.0548767761753242,1.146755797506066,0.08589689282179624,1,18,46307418
Complete,Mediator-as-state,1.0548767761753242,0.7669906001030748,0.08991612966427565,0,18,46307418
