procedure,mean_estimate,mean_estimate_mcse,rmse,mean_se,coverage,coverage_mcse,mean_selected_abs_t,n_rep
Same data selection and inference,0.004443088080510684,0.006260578023037076,0.19792772260864186,0.0854069678846427,0.273,0.014087973594523805,2.270285080210086,1000
Split selection and independent inference,-0.002820818296538609,0.0038332936707799322,0.12119159724146361,0.12175730881066667,0.942,0.007391616873188169,0.7763734505803322,1000
