variant,method,true,estimate,se,covered,rep,seed
Positivity stress,Admissible refinement,1.0611257424610525,1.013631009268869,0.09078218587415712,1,22,2913171082
Positivity stress,Oracle state,1.0611257424610525,1.0441515649774218,0.0901741600127738,1,22,2913171082
Outcome compression,Design erasure,1.0968142258052445,0.963103203977677,0.08130876447110226,1,22,2913171082
Outcome compression,Admissible refinement,1.0968142258052445,0.907334837352355,0.083724835505983,0,22,2913171082
Outcome compression,Oracle state,1.0968142258052445,0.9132569297541423,0.07790973898023336,0,22,2913171082
Nonclassical representation,Design erasure,1.0695967732676286,1.3049037466322415,0.08265537369491392,0,22,2913171082
Nonclassical representation,Admissible refinement,1.0695967732676286,1.281496013819569,0.08217184893020446,0,22,2913171082
Nonclassical representation,Oracle state,1.0695967732676286,1.2604597287608892,0.081997599550967,0,22,2913171082
Baseline,Design erasure,1.069089014558015,1.1838570190266156,0.09944627529538488,1,23,1171789617
Baseline,Admissible refinement,1.069089014558015,1.0370024413656933,0.0941396444158125,1,23,1171789617
Baseline,Oracle state,1.069089014558015,1.0455547783215797,0.09129295768809728,1,23,1171789617
Positivity stress,Design erasure,1.08916745284079,1.4367143170202425,0.09917336188427084,0,23,1171789617
Positivity stress,Admissible refinement,1.08916745284079,1.206374005553107,0.09839666492521305,1,23,1171789617
Positivity stress,Oracle state,1.08916745284079,1.1932459355751956,0.09768352882249642,1,23,1171789617
